TEAM,MEMBER,ORDER,TYPE,SPRINT17,HURDLES17,RELAY17,STEEPLECHASE,UNDRWTR17,SAND17
PINKIES,PINKIES,,2017.1,6.78,9.64,11.46,46.82,13.92,0.001017361
PINKIES,PINKY WINKY,1,2017.1,,,2.54,15.9,,
PINKIES,PINKY DINK,2,2017.1,6.78,,2.66,16.19,,
PINKIES,PINKY TOE,3,2017.1,,,3.14,13.73,13.92,
PINKIES,PINKY ROSA,4,2017.1,,9.64,3.12,DNF,,0.001017361
TEAM PRIMARY,TEAM PRIMARY,,2017.1,8.24,11.28,DSQ,44.12,14.08,0.001019676
TEAM PRIMARY,PRIM,1,2017.1,,,2.58,14.62,,
TEAM PRIMARY,RIMA,2,2017.1,,11.28,2.76,14.73,14.08,
TEAM PRIMARY,IMAR,3,2017.1,8.24,,DSQ,16.21,,0.001019676
TEAM PRIMARY,MARY,4,2017.1,,,DSQ,14.77,,
QUICKSILVERS,QUICKSILVERS,,2017.1,6.31,9.83,11.95,43.32,14.34,0.001015046
QUICKSILVERS,ARGENT,1,2017.1,,,2.69,14.32,,
QUICKSILVERS,MERCURIAL,2,2017.1,,,2.76,14.28,,
QUICKSILVERS,QUIX,3,2017.1,6.31,,3.28,15.52,14.34,
QUICKSILVERS,SILVERY,4,2017.1,,9.83,3.22,13.72,,0.001015046
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2017.1,6.45,9.81,11.53,41.57,14.08,0.001021991
SAVAGE SPEEDERS,SPEEDY,1,2017.1,6.45,,2.6,13.48,14.08,
SAVAGE SPEEDERS,RAPIDLY,2,2017.1,,,2.91,14.11,,
SAVAGE SPEEDERS,SWIFTY,3,2017.1,,9.81,2.87,15.08,,0.001021991
SAVAGE SPEEDERS,WHIZZY,4,2017.1,,,3.15,13.98,,
SHINING SWARM,SHINING SWARM,,2017.1,8.07,10.12,11.68,43.81,13.35,0.001002315
SHINING SWARM,SHINY,1,2017.1,,10.12,2.66,14.95,,0.001002315
SHINING SWARM,SPARKLE,2,2017.1,8.07,,2.89,15.92,13.35,
SHINING SWARM,SHIMMER,3,2017.1,,,3,14.62,,
SHINING SWARM,STERLING,4,2017.1,,,3.13,14.24,,
THUNDERBOLTS,THUNDERBOLTS,,2017.1,7.33,11.4,11.88,44.76,13.98,0.000980324
THUNDERBOLTS,BOLTA,1,2017.1,7.33,,2.8,14.77,,0.000980324
THUNDERBOLTS,BOLTO,2,2017.1,,,3.02,16.28,,
THUNDERBOLTS,BOLTU,3,2017.1,,11.4,2.9,15.47,,
THUNDERBOLTS,BOLTY,4,2017.1,,,3.16,14.52,13.98,
BALLS OF CHAOS,BALLS OF CHAOS,,2017.1,,,,,,
BALLS OF CHAOS,ANARCHY,1,2017.1,,,,,,
BALLS OF CHAOS,TUMULT,2,2017.1,,,,,,
