"","team","teammean","member","overallscore","overallcount","sand16","water16","sprint16","hurdles16","relay17","sand17","sprint17","hurdles17","steeplechase","undrwtr17","snowrally","winBiathlon","icedash","speedskat","snowboard","sandmgl","relay","sandrally","underwater","msprint","hurdles","elimination","biathlon","rank2"
"78","INDIGO STARS",-12,"DIEGO",-72,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130974693945221,NA,NA,NA,NA,NA,-1.6212703,8
"79","INDIGO STARS",-12,"GOGO",-6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.140922580366896,NA,0.73687369,0.079341322,-1.0588113,NA,NA,8
"80","INDIGO STARS",-12,"INDIE",25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00747962269319653,0.48062676,NA,NA,NA,NA,NA,8
"81","JAWBREAKERS",14,"SUGAR",31,8,NA,NA,NA,NA,0.0935632773766973,2.10731902082208,-0.66321433,NA,0.6150645,-0.4847458,1.06307828583563,NA,NA,NA,NA,NA,-0.699109659651384,NA,-0.36116958,NA,NA,NA,NA,18
"82","JAWBREAKERS",14,"SWEET",-59,5,NA,NA,NA,NA,-0.730813183249957,-0.790988049523434,NA,-1.4000537,0.54020375,NA,NA,NA,NA,NA,NA,NA,-0.758215332688009,NA,NA,NA,NA,NA,NA,18
"83","JAWBREAKERS",14,"TAFFY",18,4,NA,NA,NA,NA,-0.102997874169202,NA,NA,NA,0.54356831,NA,NA,NA,-0.20457585,NA,NA,NA,0.425247603963654,NA,NA,NA,NA,NA,NA,18
"84","JUNGLE JUMPERS",-9,"HOP",-2,11,NA,NA,NA,NA,0.0292866590708192,-0.52682975520552,-1.9305032,NA,0.47207198,0.50572658,-0.626566492951027,NA,NA,NA,NA,NA,0.0646878615352197,NA,0.14263748,-0.14165078,NA,0.30605268,0.44277075,9
"85","JUNGLE JUMPERS",-9,"JUMP",-13,5,NA,NA,NA,NA,-0.234973758788667,NA,NA,-0.19644161,0.45020252,NA,NA,NA,NA,NA,NA,NA,-0.106810029165358,-0.66087377,NA,NA,NA,NA,NA,9
"86","JUNGLE JUMPERS",-9,"LEAP",7,4,NA,NA,NA,NA,-0.0434891618926098,NA,NA,NA,0.5082407,NA,NA,NA,NA,NA,NA,NA,-0.28541656168674,NA,NA,NA,0.024881199,NA,NA,9
"87","JUNGLE JUMPERS",-9,"SKIP",-31,5,NA,NA,NA,NA,-0.0872599180104839,NA,NA,NA,0.49730599,NA,NA,NA,-0.60444337,NA,NA,NA,0.269999851963307,NA,-1.9395804,NA,NA,NA,NA,9
"88","KOBALTS",-22,"GNOME",39,2,NA,NA,NA,NA,0.193803459405899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572496026416332,NA,NA,NA,NA,NA,NA,2
"89","KOBALTS",-22,"MEEPO",-94,4,NA,NA,NA,NA,-0.853230455517769,-0.878650995839344,NA,NA,NA,NA,-1.44488804154275,NA,NA,NA,NA,NA,-0.645813713995101,NA,NA,NA,NA,NA,NA,2
"90","LIMERS",-2,"GOOLIME",-42,8,NA,NA,NA,NA,-0.14511684647995,0.0234547493755881,NA,NA,0.39552894,NA,NA,-0.47296461975,NA,-0.51412988,NA,-0.31910315,-0.779053578135808,-2.1637347,NA,NA,NA,NA,NA,13
"91","MIDNIGHT WISPS",10,"WESPY",-13,7,NA,NA,NA,NA,0.319328572334289,NA,NA,NA,0.45020252,NA,NA,0.414514002,-0.79104769,NA,-0.26614475,NA,-0.320269196898999,NA,-1.1233406,NA,NA,NA,NA,17
"92","MIDNIGHT WISPS",10,"WISPY",11,9,NA,NA,NA,NA,0.619189403808962,-0.287153454913242,-0.71390581,NA,0.5721668,NA,NA,0.18625259625,NA,NA,NA,1.2475019,NA,NA,-0.1218242,NA,NA,0.17790273,-1.5430648,17
"93","MIDNIGHT WISPS",10,"WOSPY",52,5,NA,NA,NA,NA,0.203030747967156,NA,NA,NA,0.49057692,1.1947492,NA,0.6857985225,NA,-0.15579939,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"94","MIDNIGHT WISPS",10,"WUSPY",4,8,NA,NA,NA,NA,-0.168378240094858,NA,NA,-0.79177648,0.60581207,NA,0.0838044699517027,0.55583346,NA,NA,NA,NA,NA,-0.18023528,NA,-1.7351367,1.1822925,NA,NA,17
"95","MINTY MANIACS",-13,"MINTY DRIZZEL",-24,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42218756809928,-0.443454627,-2.1239395,NA,NA,NA,NA,-0.091710135,NA,NA,NA,NA,NA,7
"96","MINTY MANIACS",-13,"MINTY FLAV",48,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1673498505,NA,0.76981509,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"97","MINTY MANIACS",-13,"MINTY FRESH",-35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9695776125,0.67513335,NA,-0.21648489,-1.0556422,NA,NA,NA,NA,NA,NA,NA,7
"98","MINTY MANIACS",-13,"MINTY SWIRL",-7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464658196541945,-0.623827365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"99","O'RANGERS",29,"ORANGIN",-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.019522905,NA,NA,NA,24
"100","OCEANICS",-17,"BAY",-168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6788214,NA,NA,NA,NA,4
"101","PINKIES",-25,"PINKY PANTHER",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"102","RASPBERRY RACERS",52,"RAZZY",70,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441751317,0.075332046,NA,NA,NA,0.000442071352259723,1.2016057,1.0856619,NA,1.1270031,NA,NA,25
"103","RASPBERRY RACERS",52,"REZZY",54,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38473727775,NA,NA,NA,NA,-0.010607726496275,NA,0.97780567,NA,NA,0.7289564,NA,25
"104","RASPBERRY RACERS",52,"RIZZY",24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.439053143794097,0.307427526,NA,NA,NA,0.2245315,0.263881458425577,NA,NA,NA,NA,NA,0.72633749,25
"105","RASPBERRY RACERS",52,"ROZZY",50,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19372379,NA,NA,-0.30727851,NA,0.210441602881038,NA,NA,0.77722007,NA,NA,NA,25
"106","RASPBERRY RACERS",52,"RUZZY",78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78464729,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"107","SAVAGE SPEEDERS",20,"WHIZZY",-3,8,NA,NA,NA,NA,0.152304309291409,NA,NA,NA,0.55870873,NA,0.381772937679181,-0.33546555,NA,NA,NA,0.59280103,0.223807810595871,NA,NA,-1.8630825,NA,-0.55255431,NA,21
"108","SHINING SWARM",-14,"SHIMMER",0,4,NA,NA,NA,NA,0.174235985128028,NA,NA,NA,0.5048762,NA,NA,NA,NA,NA,NA,NA,-0.779053578135808,NA,0.00053703663,NA,NA,NA,NA,6
"109","SHINING SWARM",-14,"SHINY",7,5,NA,NA,NA,NA,0.059479303756812,0.0479888841225046,NA,-0.20291278,0.47711882,NA,NA,NA,NA,NA,NA,NA,-0.0870246381708099,NA,NA,NA,NA,NA,NA,6
"110","SHINING SWARM",-14,"SPARKLE",-47,7,NA,NA,NA,NA,-0.257722806759328,NA,-2.1670637,NA,0.39552894,0.7210446,NA,NA,-1.8840172,NA,NA,NA,0.277999181510975,-1.1277485,NA,NA,NA,NA,NA,6
"111","SHINING SWARM",-14,"STERLING",3,4,NA,NA,NA,NA,-0.106088547212479,0.104644266444932,NA,NA,0.53683925,NA,NA,NA,NA,NA,NA,NA,-0.514478603770473,NA,NA,NA,NA,NA,NA,6
"112","TEAM GALACTIC",15,"QUASAR",-146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.464273,NA,NA,19
"113","TEAM MOMO",-8,"MIMO",9,4,NA,NA,NA,NA,4.790012419542e-07,NA,NA,NA,0.51496977,NA,NA,NA,1.1549749,-1.5442268,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"114","TEAM PRIMARY",-17,"ARYP",-50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50327003,NA,NA,NA,NA,5
"115","THUNDERBOLTS",3,"BOLT",-35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224242598843717,0.24033473,NA,-0.17654763,-1.8439362,NA,NA,14
"116","THUNDERBOLTS",3,"LIGHTNING",-34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.250622655094141,NA,-0.42478409,NA,NA,NA,NA,14
"117","THUNDERBOLTS",3,"SHOCK",41,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126509680907016,NA,-0.33533269,NA,NA,2.0104671,-0.35695177,14
"118","THUNDERBOLTS",3,"THUNDER",-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.245872225580525,NA,NA,NA,NA,NA,NA,14
